,17,0.04,4.24,8.12,4.43,1.05,0.01,6.15,10.61,4.68,0.73,0.02,5.91,9.74,3.28,0.59,0.04,4.93,8.00,3.51,0.57,0.02,6.89,9.65,3.92,0.76,0.04,6.23,9.30,4.05,0.88,0.00,4.77,7.49,3.78,0.71
,18,0.01,4.05,8.03,4.03,0.93,0.01,6.03,9.92,4.59,0.73,0.02,5.69,9.32,3.03,0.38,0.02,5.04,7.86,3.11,0.58,0.03,6.72,9.00,3.97,0.57,0.03,5.54,9.12,4.10,0.84,0.01,4.61,6.88,3.84,0.73
,19,0.01,4.46,7.36,4.33,0.84,0.05,6.65,9.53,4.93,0.71,0.04,5.83,9.63,3.49,0.46,0.05,5.29,8.54,2.88,0.51,0.03,6.33,8.97,4.05,0.63,0.02,5.37,8.94,4.07,0.80,0.01,4.17,6.44,3.71,0.63
,20,0.02,4.99,7.09,4.24,1.01,0.05,6.57,9.65,4.73,0.67,0.03,5.29,9.51,3.82,0.52,0.03,5.19,8.82,2.63,0.65,0.04,5.87,8.69,4.40,0.71,0.01,5.78,8.64,3.84,0.83,0.02,4.32,6.83,3.41,0.65
,21,0.04,5.61,7.63,4.47,0.97,0.03,6.36,10.02,4.39,0.68,0.04,5.47,9.17,3.90,0.55,0.02,5.36,9.04,2.63,0.43,0.09,5.54,8.46,4.71,0.65,0.04,5.51,8.47,3.74,0.77,0.03,4.88,6.78,3.40,0.64
,22,0.06,6.15,8.52,3.94,0.74,0.04,6.36,10.36,4.62,0.52,0.03,6.06,9.90,4.04,0.46,0.02,5.86,9.22,2.86,0.27,0.08,5.51,8.63,4.80,0.64,0.08,5.76,7.93,3.77,0.85,0.04,5.07,7.32,3.37,0.73
,23,0.01,5.49,8.63,3.32,0.52,0.02,6.14,9.43,4.26,0.55,0.03,5.90,9.30,3.78,0.43,0.02,5.27,8.53,2.63,0.26,0.05,5.44,8.05,3.91,0.57,0.07,5.35,7.58,3.47,0.86,0.04,5.46,7.48,3.27,0.64
SHC,0,0.00,3.09,5.34,3.35,0.78,0.00,2.91,4.61,2.65,0.73,0.00,4.08,6.47,3.79,0.84,0.00,3.88,7.48,3.69,0.72,0.01,3.20,6.08,3.38,0.61,0.02,3.35,6.83,3.54,0.69,0.01,3.70,6.30,3.43,0.49
,1,0.00,2.34,4.21,2.41,0.58,0.00,2.18,3.21,1.69,0.43,0.00,2.56,4.76,2.27,0.49,0.00,2.88,5.06,2.59,0.49,0.00,2.16,4.17,2.19,0.34,0.01,2.53,4.79,2.32,0.39,0.00,2.78,4.77,2.48,0.40
,2,0.00,2.17,3.78,2.09,0.52,0.00,1.62,2.76,1.33,0.28,0.00,1.87,3.70,1.60,0.31,0.00,1.88,3.41,1.95,0.33,0.01,1.50,3.02,1.45,0.17,0.00,2.09,3.76,1.57,0.26,0.00,2.23,3.96,1.74,0.36
